,yaw,pitch,roll,x,y,z,acc_x,acc_y,acc_z,omega_x,omega_y,omega_z
41,-1.040342653589793,0.0,-0.0,-2.5296236080810415,4.31288817400116,6.661338147750939e-16,-0.19306692050880292,0.04744614777073997,0.0,0.0,0.0,0.20500000000000002
42,-0.9365926535897932,0.0,-0.0,-2.9626811309107475,4.027719021548724,4.440892098500626e-16,-0.20112536826662278,0.037546133084839006,0.0,0.0,0.0,0.21000000000000002
43,-0.8303426535897929,0.0,-0.0,-3.3731143281190104,3.6908128819324117,2.220446049250313e-16,-0.24395777436303415,0.04549990247610666,0.0,0.0,0.0,0.215
44,-0.7215926535897932,0.0,-0.0,-3.753773023627456,3.3029060063960016,2.220446049250313e-16,-0.24339679187640262,0.041864301683687904,0.0,0.0,0.0,0.22000000000000003
45,-0.6103426535897931,0.0,-0.0,-4.097258373197988,2.8657414090002917,3.3306690738754696e-16,-0.25844513597063606,0.04103801104181863,0.0,0.0,0.0,0.225
46,-0.4965926535897927,0.0,-0.0,-4.3960551662565175,2.382162667667636,0.0,-0.25162631935715296,0.02983215875671968,0.0,0.0,0.0,0.23000000000000004
47,-0.3803426535897927,0.0,-0.0,-4.6426874191533996,1.856193289513446,2.220446049250313e-16,-0.2860422878339281,0.054336447531308944,0.0,0.0,0.0,0.23500000000000001
48,-0.2615926535897933,0.0,-0.0,-4.829896561989874,1.293096748305554,-1.6653345369377348e-16,-0.2776722449144872,0.04446045488770767,0.0,0.0,0.0,0.24000000000000005
49,-0.14034265358979245,0.0,-0.0,-4.950840615665228,0.6994120375569386,-2.914335439641036e-16,-0.3058583659763828,0.035604081886643824,0.0,0.0,0.0,0.24500000000000002
50,-0.016592653589793116,0.0,-0.0,-4.9993117254084325,0.08295946114673951,5.854691731421724e-18,-0.32492153399521684,0.049221670823920705,0.0,0.0,0.0,0.25
51,-3.0319353071795847,-0.0,-0.0,-4.969968277669476,-0.5471885588708074,3.400058012914542e-16,-0.3219121633074224,0.04412301781245965,0.0,0.0,0.0,0.255
52,-2.9031853071795846,-0.0,-0.0,-4.85857660356031,-1.1807766034844867,3.608224830031759e-16,-0.32994920185168386,0.05802766943617251,0.0,0.0,0.0,0.26
53,-2.771935307179586,-0.0,-0.0,-4.662255998482648,-1.806479727152389,-1.6653345369377348e-16,-0.3439228402983425,0.043393428201709536,0.0,0.0,0.0,0.265
54,-2.638185307179585,-0.0,-0.0,-4.3797195089868355,-2.4120648877258892,1.2212453270876722e-15,-0.3532451422551716,0.06561568003206797,0.0,0.0,0.0,0.27
55,-2.5019353071795862,-0.0,-0.0,-4.0115017097722685,-2.9846028265908626,2.220446049250313e-16,-0.37057485215262725,0.03796800966828186,0.0,0.0,0.0,0.275
56,-2.363185307179586,-0.0,-0.0,-3.5601635819915494,-3.510731443654028,2.220446049250313e-16,-0.3837119876567648,0.06361028005915159,0.0,0.0,0.0,0.28
